# Generated from MathJax 3.2.2 mappings for the pinned WIRIS coverage corpus.
# latex-command<TAB>mtef-typeface<TAB>unicode-code-point
\supsetneqq	6	2ACC
\surd	6	221A
\swarrow	6	2199
\tau	4	3C4
\therefore	6	2234
\theta	4	3B8
\times	6	D7
\to	6	2192
\top	6	22A4
\triangle	6	25B3
\triangledown	6	25BD
\triangleleft	6	25C3
\trianglelefteq	6	22B4
\triangleq	6	225C
\triangleright	6	25B9
\twoheadleftarrow	6	219E
\twoheadrightarrow	6	21A0
\ulcorner	6	231C
\unlhd	6	22B4
\uparrow	6	2191
\updownarrow	6	2195
\upharpoonleft	6	21BF
\upharpoonright	6	21BE
\uplus	6	228E
\upsilon	4	3C5
\upuparrows	6	21C8
\urcorner	6	231D
\vDash	6	22A8
\varepsilon	4	3B5
\varkappa	4	3F0
\varnothing	6	2205
\varphi	4	3C6
\varpi	4	3D6
\varrho	4	3F1
\varsigma	4	3C2
\vartheta	4	3D1
\vartriangle	6	25B3
\vartriangleleft	6	22B2
\vartriangleright	6	22B3
\vdash	6	22A2
\vdots	6	22EE
\vee	6	2228
\veebar	6	22BB
\vert	6	7C
\wedge	6	2227
\wp	6	2118
\wr	6	2240
\xi	4	3BE
\yen	6	A5
\zeta	4	3B6
